ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b90593186_Ciperis-de-Vignevaux_Première-version-en-alexandrins	Ciperis de Vignevaux	Première version en alexandrins	verse		français 1637	53-146	1401-1500
btv1b90588532_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 1661	76-88	1463-1467
btv1b9059692s_Gui-de-Warwick_Version-en-vers	Gui de Warwick	Version en vers	verse		français 1669	5-65	1201-1300
btv1b9060530t_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 1881	98-131	1476-1600
btv1b9058133w_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 189	321-362	1401-1500
btv1b52513419n_Partonopeus-de-Blois_Partonopeus-de-Blois	Partonopeus de Blois	Partonopeus de Blois			français 19152	255-356	1301-1320
btv1b52513419n_Blancandin-et-l-Orgueilleuse-d-Amour_Blancandin-et-l-Orgueilleuse-d-Amour	Blancandin et l’Orgueilleuse d'Amour	Blancandin et l’Orgueilleuse d'Amour	verse		français 19152	357-393	1301-1320
btv1b52513419n_Floire-et-Blancheflor-_Version-II-dite-populaire	Floire et Blancheflor 	Version II dite populaire			français 19152	393-418	1301-1320
btv1b52513419n_Audigier_Audigier	Audigier	Audigier	verse		français 19152	138-146	1301-1320
btv1b52513419n_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		français 19152	178-185	1301-1320
btv1b9062189p_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 19160	141-356	1201-1300
btv1b9062189p_Hervis-de-Metz_Hervis-de-Metz	Hervis de Metz	Hervis de Metz	verse		français 19160	3-91	1201-1300
btv1b9062189p_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 19160	92-103	1201-1300
btv1b90621888_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 19161	4-147	1301-1400
btv1b52505676x_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 19162	12-298	1281-1290
btv1b90633265_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 19166	3-33	1280
btv1b90635100_Belle-Hélène-de-Constantinople_Version-anonyme-en-prose	Belle Hélène de Constantinople	Version anonyme en prose	prose		français 19167	13-118	1467-1500
btv1b9062154g_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis	verse		français 19525	29-33	1281-1300
btv1b9058097g_venjance-Nostre-Seigneur_venjance-Nostre-Seigneur	venjance Nostre Seigneur	venjance Nostre Seigneur	verse		français 20039	134-176	1281-1300
btv1b53196526r_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 20040	255-284	1201-1300
btv1b9059570v_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 2137	2-49	1278-1300
btv1b9059015x_chevalier-du-papegau_chevalier-du-papegau	chevalier du papegau	chevalier du papegau			français 2154	4-78	1401-1450
btv1b90069809_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 2162	133-142	1201-1300
btv1b9058947p_L-atre-perilleux_L-atre-perilleux	L'atre perilleux	L'atre perilleux			français 2168	3-49	1281-1300
btv1b9059916f_Brun-de-la-Montagne_Brun-de-la-Montagne	Brun de la Montagne	Brun de la Montagne	verse		français 2170	5-88	1351-1400
btv1b9059916f_Aye-d-Avignon_Aye-d-Avignon	Aye d'Avignon	Aye d'Avignon	verse		français 2170	88-154	1351-1400
btv1b9058927x_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 2179	3-75	1201-1300
btv1b9058927x_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 2179	75-125	1201-1300
btv1b9058278t_Girart-de-Roussillon_Version-en-décasyllabes	Girart de Roussillon	Version en décasyllabes	verse		français 2180	11-150	1251-1300
btv1b9058992h_Aiquin_Aiquin	Aiquin	Aiquin	verse	fragment	français 2233	3-61	1401-1500
btv1b52513529f_Marques-de-Rome_Marques-de-Rome	Marques de Rome	Marques de Rome			français 22548	35-117	1281-1320
btv1b52513529f_Cassidorus_Cassidorus	Cassidorus	Cassidorus			français 22548	349-418	1281-1320
btv1b52513529f_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 22548	7-34	1281-1320
btv1b52513529f_roman-de-Laurin_roman-de-Laurin	roman de Laurin	roman de Laurin			français 22548	117-349	1281-1320
btv1b52513516p_Pelyarmenus_Pelyarmenus	Pelyarmenus	Pelyarmenus			français 22549	267-483	1281-1320
btv1b52513516p_Cassidorus_Cassidorus	Cassidorus	Cassidorus			français 22549	7-154	1281-1320
btv1b52513516p_Helcanus_Helcanus	Helcanus	Helcanus			français 22549	154-266	1281-1320
btv1b52513332z_Pelyarmenus_Pelyarmenus	Pelyarmenus	Pelyarmenus			français 22550	7-105	1281-1320
btv1b52513332z_Kanor_Kanor	Kanor	Kanor			français 22550	105-333	1281-1320
btv1b9059284v_Huon-de-Bordeaux_Continuation-P-de-Huon-de-Bordeaux	Huon de Bordeaux	Continuation P de Huon de Bordeaux	verse		français 22555	187-252	1401-1500
btv1b9059284v_Lion-de-Bourges_Version-en-alexandrins	Lion de Bourges	Version en alexandrins	verse		français 22555	2-186	1401-1500
btv1b90631430_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 22933	126-147	1251-1300
btv1b90639690_Galeran-de-Bretagne_Galeran-de-Bretagne	Galeran de Bretagne	Galeran de Bretagne			français 24042	3-108	1401-1500
btv1b9063751m_Auberi-le-Bourguignon_Auberi-le-Bourguignon	Auberi le Bourguignon	Auberi le Bourguignon	verse		français 24368	3-116	1298
btv1b60005272_Aimeri-de-Narbonne_Aimeri-de-Narbonne	Aimeri de Narbonne	Aimeri de Narbonne	verse		français 24369	9-61	1301-1320
btv1b60005272_Siege-de-Barbastre_Siege-de-Barbastre	Siege de Barbastre	Siege de Barbastre	verse		français 24369	238-320	1301-1320
btv1b60005272_Aliscans_Aliscans	Aliscans	Aliscans	verse		français 24369	401-492	1301-1320
btv1b60005272_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		français 24369	492-538	1301-1320
btv1b60005272_enfances-Vivien_enfances-Vivien	enfances Vivien	enfances Vivien	verse		français 24369	230-238	1301-1320
btv1b60005272_Guibert-d-Andrenas_Guibert-d-Andrenas	Guibert d'Andrenas	Guibert d'Andrenas	verse		français 24369	322-349	1301-1320
btv1b60005272_chevalerie-Vivien_chevalerie-Vivien	chevalerie Vivien	chevalerie Vivien	verse		français 24369	379-401	1301-1320
btv1b60005272_departement-des-enfans-Aimeri_Version-C	departement des enfans Aimeri	Version C	verse		français 24369	61-66	1301-1320
btv1b60005272_enfances-Guillaume_enfances-Guillaume	enfances Guillaume	enfances Guillaume	verse		français 24369	67-109	1301-1320
btv1b60005272_Narbonnais_Narbonnais	Narbonnais	Narbonnais	verse		français 24369	109-157	1301-1320
btv1b60005272_couronnement-de-Louis_couronnement-de-Louis	couronnement de Louis	couronnement de Louis	verse		français 24369	157-188	1301-1320
btv1b60005272_charroi-de-Nimes_charroi-de-Nimes	charroi de Nimes	charroi de Nimes	verse		français 24369	189-206	1301-1320
btv1b60005272_prise-d-Orange_prise-d-Orange	prise d'Orange	prise d'Orange	verse		français 24369	206-230	1301-1320
btv1b9063185b_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		français 24370	3-7	1301-1320
btv1b9063185b_moniage-Guillaume_Version-longue-en-vers-II-	moniage Guillaume	Version longue en vers (II)	verse		français 24370	169-190	1301-1320
btv1b9063185b_enfances-Renier_enfances-Renier	enfances Renier	enfances Renier	verse		français 24370	55-169	1301-1320
btv1b9063185b_moniage-Rainouart_moniage-Rainouart	moniage Rainouart	moniage Rainouart	verse		français 24370	7-9, 32-55	1301-1320
btv1b9063185b_mort-Aymeri-de-Narbonne_mort-Aymeri-de-Narbonne	mort Aymeri de Narbonne	mort Aymeri de Narbonne	verse		français 24370	9-32	1301-1320
btv1b90580821_Blancandin-et-l-Orgueilleuse-d-Amour_Version-longue-en-prose	Blancandin et l’Orgueilleuse d'Amour	Version longue en prose			français 24371	2-111	1401-1500
btv1b90592873_Charles-le-Chauve_Charles-le-Chauve	Charles le Chauve	Charles le Chauve	verse		français 24372	3-90	1301-1400
btv1b9063715r_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 24377	4-179	1251-1275
btv1b90592784_roman-de-Florence-de-Rome_roman-de-Florence-de-Rome	roman de Florence de Rome	roman de Florence de Rome	verse		français 24384	215-262	1456
btv1b90592784_Florent-et-Octavien_Version-en-alexandrins	Florent et Octavien	Version en alexandrins	verse		français 24384	6-215	1456
btv1b9063108j_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban	verse		français 24387	3-56	1281-1300
btv1b9009473c_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 24394	13-229	1281-1290
btv1b10549436t_Ogier-le-Danois_Version-française-en-décasyllabes	Ogier le Danois	Version française en décasyllabes	verse		français 24403	359-572	1281-1300
btv1b10549436t_Garin-de-Monglane_Version-en-vers	Garin de Monglane	Version en vers	verse		français 24403	7-244, 575-582	1281-1300
btv1b9063721g_Cleomadés_Cleomadés	Cleomadés	Cleomadés			français 24404	2-170	1281-1400
btv1b9063721g_Berte-aus-grans-piés_Berte-aus-grans-piés	Berte aus grans piés	Berte aus grans piés	verse		français 24404	172-234	1281-1400
btv1b10033611r_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 24431	77-95	1278-1300
btv1b90594352_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 2455	2-343	1201-1300
btv1b9060526x_Raoul-de-Cambrai_Raoul-de-Cambrai	Raoul de Cambrai	Raoul de Cambrai	verse		français 2493	4-159	1201-1250
btv1b9059912s_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		français 2494	171-222	1226-1250
btv1b9059912s_Aliscans_Aliscans	Aliscans	Aliscans	verse		français 2494	4-171	1226-1250
btv1b52500664w_Jehan-de-Lanson_Jehan-de-Lanson	Jehan de Lanson	Jehan de Lanson	verse		français 2495	9-138	1281-1300
btv1b52500664w_Aspremont_Aspremont	Aspremont	Aspremont			français 2495	139-278	1281-1300
btv1b9063366p_Otinel_Otinel	Otinel	Otinel			français 25408	109	1267
btv1b9063366p_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 25408	32-41	1267
btv1b60006868_Guilhem-de-Tudela_Canso-de-la-Crosada	Guilhem de Tudela	Canso de la Crosada	verse		français 25425	9-247	1271-1280
btv1b9058313t_venjance-Nostre-Seigneur_venjance-Nostre-Seigneur	venjance Nostre Seigneur	venjance Nostre Seigneur	verse		français 25439	109-148	1251-1300
btv1b84516032_Beuve-de-Hantone_Version-continentale-I	Beuve de Hantone	Version continentale I	verse		français 25516	7-156	1251-1300
btv1b84516032_Elie-de-Saint-Gilles_Elie-de-Saint-Gilles	Elie de Saint Gilles	Elie de Saint Gilles	verse		français 25516	157-196	1251-1300
btv1b84516032_Aiol_Aiol	Aiol	Aiol	verse		français 25516	197-351	1251-1300
btv1b9063679b_Folque-de-Candie_Folque-de-Candie	Folque de Candie	Folque de Candie	verse		français 25518	2-171	1201-1300
btv1b90075236_Aspremont_Aspremont	Aspremont	Aspremont			français 25529	4-95	1201-1300
btv1b9063357q_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 25545	49-74	1316-1317
btv1b90606446_Aliscans_Aliscans	Aliscans	Aliscans			français 2861	206-207	1461-1470
btv1b10509662s_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 334	9-706	1326-1350
btv1b105201147_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 335	3-862	1400
btv1b90589416_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 336	2-359	1400
btv1b8514424m_Guiron-le-courtois_Guiron-le-courtois	Guiron le courtois	Guiron le courtois			français 338	9-975	1380-1390
btv1b85144236_Meliadus_Meliadus	Meliadus	Meliadus	mixed		français 340	5-418	1401-1420
btv1b6000109r_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 344	11-171	1295-1300
btv1b6000616m_Guiron-le-courtois_Guiron-le-courtois	Guiron le courtois	Guiron le courtois			français 350	295-742	1281-1420
btv1b6000616m_Meliadus_Meliadus	Meliadus	Meliadus	mixed		français 350	13-292	1281-1420
btv1b105380786_Lion-de-Bourges_Version-en-octosyllabes	Lion de Bourges	Version en octosyllabes	verse		français 351	7-521	1481-1520
btv1b85144251_Meliadus_Meliadus	Meliadus	Meliadus	mixed		français 355	7-105, 113-127	1301-1400
btv1b85144251_Ségurant-le-brun_Ségurant-le-brun	Ségurant le brun	Ségurant le brun			français 355	105-113	1301-1400
btv1b85144251_Ségurant-le-brun_Ségurant-le-brun-épisode-complémentaire	Ségurant le brun	Ségurant le brun, épisode complémentaire			français 355	127-131	1301-1400
btv1b85144251_Guiron-le-courtois_Guiron-le-courtois	Guiron le courtois	Guiron le courtois			français 355	135-795	1301-1400
btv1b8514422s_Guiron-le-courtois_Guiron-le-courtois	Guiron le courtois	Guiron le courtois			français 356	7-524	1441-1460
btv1b85275905_Guiron-le-courtois_Guiron-le-courtois	Guiron le courtois	Guiron le courtois			français 357	7-758	1441-1460
btv1b90600192_Partonopeus-de-Blois_Partonopeus-de-Blois	Partonopeus de Blois	Partonopeus de Blois			français 368	4-45	1301-1313
btv1b90600192_roman-d-Alexandre_Prise-de-Defur	roman d'Alexandre	Prise de Defur			français 368	126-128	1301-1313
btv1b90600192_roman-d-Alexandre_Voyage-d-Alexandre-au-Paradis-terrestre	roman d'Alexandre	Voyage d'Alexandre au Paradis terrestre			français 368	128-129	1301-1313
btv1b90600192_roman-d-Alexandre_La-signification-de-la-mort-Alexandre	roman d'Alexandre	La signification de la mort Alexandre			français 368	129-131	1301-1313
btv1b90600192_Saisnes_Saisnes	Saisnes	Saisnes	verse		français 368	131-152	1301-1313
btv1b90600192_Simon-de-Pouille_Version-longue	Simon de Pouille	Version longue	verse		français 368	152-175	1301-1313
btv1b90600192_couronnement-de-Louis_couronnement-de-Louis	couronnement de Louis	couronnement de Louis	verse		français 368	175-177	1301-1313
btv1b90600192_charroi-de-Nimes_charroi-de-Nimes	charroi de Nimes	charroi de Nimes	verse		français 368	177-181	1301-1313
btv1b90600192_prise-d-Orange_prise-d-Orange	prise d'Orange	prise d'Orange	verse		français 368	181-187	1301-1313
btv1b90600192_enfances-Vivien_enfances-Vivien	enfances Vivien	enfances Vivien	verse		français 368	187-199	1301-1313
btv1b90600192_chevalerie-Vivien_chevalerie-Vivien	chevalerie Vivien	chevalerie Vivien	verse		français 368	199-205	1301-1313
btv1b90600192_Aliscans_Aliscans	Aliscans	Aliscans	verse		français 368	205-234	1301-1313
btv1b90600192_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		français 368	234-248	1301-1313
btv1b90600192_moniage-Rainouart_moniage-Rainouart	moniage Rainouart	moniage Rainouart	verse		français 368	248-278	1301-1313
btv1b90600192_moniage-Guillaume_Version-longue-en-vers-II-	moniage Guillaume	Version longue en vers (II)	verse		français 368	278-296	1301-1313
btv1b90600192_Anseïs-de-Carthage_Anseïs-de-Carthage	Anseïs de Carthage	Anseïs de Carthage			français 368	296-301	1301-1313
btv1b90600192_roman-d-Alexandre_roman-d-Alexandre	roman d'Alexandre	roman d'Alexandre			français 368	46-98	1301-1313
btv1b90600192_Vœux-du-Paon_Vœux-du-Paon	Vœux du Paon	Vœux du Paon			français 368	99-126	1301-1313
btv1b10510319x_Blancandin-et-l-Orgueilleuse-d-Amour_Blancandin-et-l-Orgueilleuse-d-Amour	Blancandin et l’Orgueilleuse d'Amour	Blancandin et l’Orgueilleuse d'Amour	verse		français 375	520-545	1288
btv1b10510319x_Amadas-et-Ydoine_Amadas-et-Ydoine	Amadas et Ydoine	Amadas et Ydoine			français 375	639-674	1288
btv1b10029497r_Récit-apocryphe-de-la-formation-d-Adam_Récit-apocryphe-de-la-formation-d-Adam	Récit apocryphe de la formation d'Adam	Récit apocryphe de la formation d'Adam	prose		français 402	46-47	1481-1500
btv1b52506756t_Récit-apocryphe-de-la-formation-d-Adam_Récit-apocryphe-de-la-formation-d-Adam	Récit apocryphe de la formation d'Adam	Récit apocryphe de la formation d'Adam	prose		français 461	268-269	1401-1500
btv1b9059486c_Anseïs-de-Gascogne_Anseïs-de-Gascogne	Anseïs de Gascogne	Anseïs de Gascogne			français 4988	177-305	1201-1300
btv1b9059486c_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 4988	7-107	1201-1300
btv1b9059486c_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 4988	107-176	1201-1300
btv1b9007463c_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	verse		français 5036	46-80	1451-1500
btv1b9007234z_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 5586	97-129	1477
btv1b9059154c_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 573	198-245	1401-1460
btv1b10023009b_Roman-d-Énéas_Roman-d-Énéas	Roman d’Énéas	Roman d’Énéas	verse		français 60	305-382	1313-1349
btv1b10023009b_roman-de-Thebes_roman-de-Thebes	roman de Thebes	roman de Thebes			français 60	11-91	1313-1349
btv1b10023009b_roman-de-Troie_roman-de-Troie	roman de Troie	roman de Troie			français 60	93-303	1313-1349
btv1b52503704t_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 747	11-163	1231-1250
btv1b9058903h_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 749	3-125	1281-1290
btv1b10509725v_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 750	5-636	1272
btv1b52503108b_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 755	8-327	1320-1330
btv1b105103171_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 756	11-540	1381-1400
btv1b10510339r_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 757	9-534	1381-1400
btv1b105103154_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 758	9-292	1251-1400
btv1b9059380j_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 759	4-93	1251-1300
btv1b105097608_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 760	9-261	1281-1320
btv1b90599774_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban	verse		français 764	6-236	1440
btv1b9059956z_mort-de-Maugis_mort-de-Maugis	mort de Maugis	mort de Maugis	verse		français 766	186-195	1296-1305
btv1b9059956z_Maugis-d-Aigremont_Version-en-vers	Maugis d'Aigremont	Version en vers	verse		français 766	5-62	1296-1305
btv1b9059956z_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban	verse		français 766	63-186	1296-1305
btv1b9059217f_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 770	3-123	1281-1290
btv1b9059153z_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 772	3-435	1281-1300
btv1b9060553t_moniage-Rainouart_moniage-Rainouart	moniage Rainouart	moniage Rainouart	verse		français 774	152-191	1251-1300
btv1b9060553t_moniage-Guillaume_Version-longue-en-vers-II-	moniage Guillaume	Version longue en vers (II)	verse		français 774	191-231	1251-1300
btv1b9060553t_couronnement-de-Louis_couronnement-de-Louis	couronnement de Louis	couronnement de Louis	verse		français 774	23-38	1251-1300
btv1b9060553t_enfances-Guillaume_enfances-Guillaume	enfances Guillaume	enfances Guillaume	verse		français 774	4-23	1251-1300
btv1b9060553t_charroi-de-Nimes_charroi-de-Nimes	charroi de Nimes	charroi de Nimes	verse		français 774	38-47	1251-1300
btv1b9060553t_prise-d-Orange_prise-d-Orange	prise d'Orange	prise d'Orange	verse		français 774	47-58	1251-1300
btv1b9060553t_enfances-Vivien_enfances-Vivien	enfances Vivien	enfances Vivien	verse		français 774	58-76	1251-1300
btv1b9060553t_chevalerie-Vivien_chevalerie-Vivien	chevalerie Vivien	chevalerie Vivien	verse		français 774	76-86	1251-1300
btv1b9060553t_Aliscans_Aliscans	Aliscans	Aliscans	verse		français 774	86-104	1251-1300
btv1b9060553t_Folque-de-Candie_Folque-de-Candie	Folque de Candie	Folque de Candie	verse		français 774	105-152, 231-233	1251-1300
btv1b90599544_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban	verse		français 775	2-113	1291-1310
btv1b6000110d_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 776	9-590	1285-1290
btv1b9059530b_Folque-de-Candie_Folque-de-Candie	Folque de Candie	Folque de Candie	verse		français 778	175-282	1301-1325
btv1b9059530b_Berte-aus-grans-piés_Berte-aus-grans-piés	Berte aus grans piés	Berte aus grans piés	verse		français 778	5-28	1301-1325
btv1b9059530b_Charlemagne_Charlemagne	Charlemagne	Charlemagne	verse		français 778	28-175	1301-1325
btv1b9058124x_Chevalier-au-cygne_Première-version-en-prose	Chevalier au cygne	Première version en prose	prose		français 781	2-65	1295-1305
btv1b9059134m_Roman-d-Énéas_Roman-d-Énéas	Roman d’Énéas	Roman d’Énéas	verse		français 784	71-121	1281-1320
btv1b52517821c_chanson-d-Antioche_	chanson d'Antioche		verse		français 786	326-423	1268
btv1b52517821c_Conqueste-de-Jerusalem_Conqueste-de-Jerusalem	Conqueste de Jerusalem	Conqueste de Jerusalem	verse		français 786	241-282	1268
btv1b52517821c_Chevalier-au-cygne_Première-version-en-vers	Chevalier au cygne	Première version en vers	verse		français 786	97-168	1268
btv1b8419243k_Naissance-du-chevalier-au-cygne--Beatrix-_Naissance-du-chevalier-au-cygne-Beatrix-	Naissance du chevalier au cygne (Beatrix)	Naissance du chevalier au cygne (Beatrix)			français 795	29-59	1251-1300
btv1b8419243k_Conqueste-de-Jerusalem_Conqueste-de-Jerusalem	Conqueste de Jerusalem	Conqueste de Jerusalem	verse		français 795	337-520	1251-1300
btv1b8419243k_Chevalier-au-cygne_Première-version-en-vers	Chevalier au cygne	Première version en vers	verse		français 795	12	1251-1300
btv1b8419243k_chanson-d-Antioche_	chanson d'Antioche		verse		français 795	204-337	1251-1300
btv1b9058183s_Aimeri-de-Narbonne_prose-Guillaume-d-Orange-1401-1500	Aimeri de Narbonne	prose: Guillaume d'Orange, 1401-1500	prose	translation or rewriting	français 796	4-375	1451-1500
btv1b55013464t_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		français 837	89-98	1278-1280
btv1b90596061_Bertrand-du-Guesclin_Bertrand-du-Guesclin	Bertrand du Guesclin	Bertrand du Guesclin	verse		français 850	5-289	1401-1500
btv1b90599848_Auberi-le-Bourguignon_Auberi-le-Bourguignon	Auberi le Bourguignon	Auberi le Bourguignon	verse		français 859	4-215	1201-1300
btv1b104658206_Jourdain-de-Blaye_Version-décasyllabique	Jourdain de Blaye	Version décasyllabique	verse		français 860	233-277	1260-1290
btv1b104658206_Auberi-le-Bourguignon_Auberi-le-Bourguignon	Auberi le Bourguignon	Auberi le Bourguignon	verse		français 860	278-562	1260-1290
btv1b104658206_Roland_Version-de-Paris	Roland	Version de Paris	verse		français 860	13-84	1260-1290
btv1b104658206_Gaydon_Gaydon	Gaydon	Gaydon	verse		français 860	85-196	1260-1290
btv1b104658206_Ami-et-Amile--Version-continentale-en-décasyllabes-_Ami-et-Amile-Version-continentale-en-décasyllabes-	Ami et Amile (Version continentale en décasyllabes)	Ami et Amile (Version continentale en décasyllabes)			français 860	197-233	1260-1290
btv1b9060848j_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 9123	5-98	1315-1335
btv1b525128401_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 93	7-39	1466
btv1b9059584w_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 94	2-407	1301-1325
btv1b6000108b_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 95	9-234	1290-1300
btv1b6000108b_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 95	717-767	1290-1300
btv1b10544596z_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 96	7-126	1450-1460
btv1b90590845_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 97	2-563	1401-1425
btv1b9059081x_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 98	3-135	1450
btv1b52503846r_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 99	5-1392	1463
btv1b52500695k_Aspremont_Aspremont	Aspremont	Aspremont			nouvelles acquisitions françaises 10039	7-275	1241-1260
btv1b10085444t_Theseus-de-Cologne_Version-en-alexandrins	Theseus de Cologne	Version en alexandrins	verse		nouvelles acquisitions françaises 10060	5-410	1401-1500
btv1b105326322_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		nouvelles acquisitions françaises 1104	110-124	1281-1300
btv1b530121530_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		nouvelles acquisitions françaises 13521	569-627	1281-1300
btv1b100847096_Orson-de-Beauvais_Orson-de-Beauvais	Orson de Beauvais	Orson de Beauvais	verse		nouvelles acquisitions françaises 16600	3-62	1281-1300
btv1b100738410_Folque-de-Candie_Folque-de-Candie	Folque de Candie	Folque de Candie	verse		nouvelles acquisitions françaises 18217	2-4	1201-1220
btv1b6000416x_Perceval-de-Didot_Perceval-de-Didot	Perceval de Didot	Perceval de Didot			nouvelles acquisitions françaises 4166	197-258	1301-1400
btv1b53000321m_Daurel-et-Beton_Daurel-et-Beton	Daurel et Beton	Daurel et Beton	verse		nouvelles acquisitions françaises 4232	160-232	1301-1400
btv1b10090071s_Beuve-de-Hantone_Version-anglo-normande	Beuve de Hantone	Version anglo-normande	verse		nouvelles acquisitions françaises 4532	70-84	1301-1400
