ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b8426778v_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban			Arsenal 5072	11-799	1462
btv1b550071656_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban			Arsenal 5073	9-724	1462
btv1b55006679z_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban			Arsenal 5074	7-714	1462
btv1b55006678h_Renaut-de-Montauban_Renaut-de-Montauban	Renaut de Montauban	Renaut de Montauban			Arsenal 5075	7-692	1462
btv1b550101223_venjance-Nostre-Seigneur_venjance-Nostre-Seigneur	venjance Nostre Seigneur	venjance Nostre Seigneur	verse		Arsenal 5201	149-171	1300
btv1b550101223_Floris-et-Lyriopé_Floris-et-Lyriopé	Floris et Lyriopé	Floris et Lyriopé			Arsenal 5201	49-73	1300
btv1b52509007k_Bataille-Loquifer_Bataille-Loquifer	Bataille Loquifer	Bataille Loquifer	verse		Arsenal 6562	260-358	1225
btv1b52509007k_moniage-Rainouart_moniage-Rainouart	moniage Rainouart	moniage Rainouart	verse		Arsenal 6562	359-547	1225
btv1b52509007k_Aliscans_Aliscans	Aliscans	Aliscans	verse		Arsenal 6562	23-260	1225
btv1b52509007k_moniage-Guillaume_Version-courte-en-vers-I-	moniage Guillaume	Version courte en vers (I)	verse		Arsenal 6562	549-580	1225
btv1b52513074c_L-Escoufle_L-Escoufle	L'Escoufle	L'Escoufle			Arsenal 6565	13-164	1276-1300
btv1b52513074c_Guillaume-de-Palerne_Guillaume-de-Palerne-en-vers	Guillaume de Palerne	Guillaume de Palerne en vers	verse		Arsenal 6565	165-325	1276-1300
btv1b10029507d_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 100	7-834	1401-1425
btv1b9059120k_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 102	2-280	1465-1480
btv1b90598289_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 103	2-389	1470
btv1b90588354_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 104	4-693	1201-1300
btv1b90591425_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 105	3-127	1315-1335
btv1b107231677_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 110	386-431	1295-1300
btv1b10084206z_Guiron-le-courtois_Guiron-le-courtois	Guiron le courtois	Guiron le courtois			français 112	21-27	1470
btv1b60000903_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 113	11-242	1481-1500
btv1b8492079j_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 117	11-110	1400-1410
btv1b84920784_Conte-de-la-Charrette_Conte-de-la-Charrette	Conte de la Charrette	Conte de la Charrette			français 119	13-60	1400
btv1b10533299h_Conte-de-la-Charrette_Conte-de-la-Charrette	Conte de la Charrette	Conte de la Charrette			français 122	11-56	1345
btv1b9006877g_enfances-Ogier_enfances-Ogier	enfances Ogier	enfances Ogier	verse		français 12467	4-97	1281-1300
btv1b9006877g_Berte-aus-grans-piés_Berte-aus-grans-piés	Berte aus grans piés	Berte aus grans piés	verse		français 12467	165-207	1281-1300
